Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::copy_,"4,8,128;
4,8,128;
",,9.29,12.05,0,1.72,0,0
aclnnInplaceCopy,,,2.76,2.76,1.72,1.72,0,0
aten::to,"4,8,5120;
;
;
;
",,3.93,29.29,0,8.6,0,0
aten::_to_copy,"4,8,5120;
;
;
;
;
;
",,3.59,25.36,0,8.6,0,0
aten::empty_strided,";
;
;
;
;
",,4.83,6.68,0,0,0,0
empty_tensor,,,1.85,1.85,0,0,0,0
aten::copy_,"4,8,5120;
4,8,5120;
",,11.01,15.09,0,8.6,0,0
aclnnInplaceCopy,,,4.08,4.08,8.6,8.6,0,0
aten::square,"4,8,5120",,2.45,85.66,0,13.0805,0,0
aten::pow,"4,8,5120;
",,3.11,83.21,0,13.0805,0,0
aten::pow,"4,8,5120;
",,21.92,80.1,0,13.0805,0,0
aten::result_type,"4,8,5120;
",,47.53,47.53,0,0,0,0
empty_tensor,,,4.14,4.14,0,0,0,0
aclnnPowTensorScalar,,,6.51,6.51,13.0805,13.0805,0,0
aten::mean,"4,8,5120;
;
;
",,17.11,26.62,0,12.86025,0,0
empty_tensor,,,2.75,2.75,0,0,0,0
aclnnMean,,,6.76,6.76,12.86025,12.86025,0,0
aten::add,"4,8,1;
;
",,14.84,29.75,0,1.5,0,0
empty_tensor,,,3.58,3.58,0,0,0,0
aten::item,,,1.35,4.03,0,0,0,0
aten::_local_scalar_dense,,,2.68,2.68,0,0,0,0
aclnnAdds,,,7.3,7.3,1.5,1.5,0,0
aten::rsqrt,"4,8,1",,1.49,23.2,0,1.26,0,0
aten::rsqrt,"4,8,1",,12.92,21.71,0,1.26,0,0
empty_tensor,,,4.3,4.3,0,0,0,0
aclnnRsqrt,,,4.49,4.49,1.26,1.26,0,0
aten::mul,"4,8,5120;
4,8,1",,12.29,16.98,0,8.84025,0,0
empty_tensor,,,2.67,2.67,0,0,0,0
aclnnMul,,,2.02,2.02,8.84025,8.84025,0,0
aten::to,"4,8,5120;
;
;
;
",,2.12,37.01,0,7.14,0,0
aten::_to_copy,"4,8,5120;
;
;
;
;
;
",,10.52,34.89,0,7.14,0,0
aten::empty_strided,";
;
;
;
;
",,4.7,6.54,0,0,0,0
empty_tensor,,,1.84,1.84,0,0,0,0
aten::copy_,"4,8,5120;
4,8,5120;
",,10.46,17.83,0,7.14,0,0
aclnnInplaceCopy,,,7.37,7.37,7.14,7.14,0,0
aten::mul,"5120;
4,8,5120",,12.79,21.8,0,10.88025,0,0
empty_tensor,,,5.35,5.35,0,0,0,0
aclnnMul,,,3.66,3.66,10.88025,10.88025,0,0
aten::linear,"4,8,5120;
1024,5120;
",,5.47,54.1,0,15.52025,0,15.52025
aten::linear,"4,8,5120;
1024,5120;
",,5.29,48.63,0,15.52025,0,15.52025
aten::t,"1024,5120",,4.34,16.51,0,0,0,0
aten::transpose,"1024,5120;
;
",,3.33,12.17,0,0,0,0
aten::as_strided,"1024,5120;
;
;
",,8.84,8.84,0,0,0,0
aten::matmul,"4,8,5120;
5120,1024",,16.43,26.83,0,15.52025,0,15.52025
empty_tensor,,,3.53,3.53,0,0,0,0
aclnnMatmul,,,6.87,6.87,15.52025,15.52025,15.52025,15.52025
aten::view,"4,8,1024;
",,3.89,3.89,0,0,0,0
aten::linear,"4,8,5120;
128,5120;
",,5.02,39.25,0,13.0005,0,13.0005
aten::linear,"4,8,5120;
128,5120;
",,2.17,34.23,0,13.0005,0,13.0005
aten::t,"128,5120",,2.01,11.2,0,0,0,0
aten::transpose,"128,5120;
;
",,6.46,9.19,0,0,0,0
aten::as_strided,"128,5120;
;
;
",,2.73,2.73,0,0,0,0
aten::matmul,"4,8,5120;
5120,128",,10.68,20.86,0,13.0005,0,13.0005
empty_tensor,,,6.87,6.87,0,0,0,0
aclnnMatmul,,,3.31,3.31,13.0005,13.0005,13.0005,13.0005
aten::view,"4,8,128;
",,3.02,3.02,0,0,0,0
aten::linear,"4,8,5120;
128,5120;
",,2.91,29.94,0,11.78,0,11.78
aten::linear,"4,8,5120;
128,5120;
",,1.76,27.03,0,11.78,0,11.78
aten::t,"128,5120",,2.37,7.5,0,0,0,0
aten::transpose,"128,5120;
;
",,2.04,5.13,0,0,0,0
aten::as_strided,"128,5120;
;
;
",,3.09,3.09,0,0,0,0
aten::matmul,"4,8,5120;
5120,128",,9.56,17.77,0,11.78,0,11.78
empty_tensor,,,3.89,3.89,0,0,0,0
aclnnMatmul,,,4.32,4.32,11.78,11.78,11.78,11.78
aten::view,"4,8,128;
",,2.94,2.94,0,0,0,0
aten::to,"4,8,8,128;
;
;
;
",,5.52,40.4,0,4.40025,0,0
