Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
record_event,,,3.62,3.62,0.02,0.02,0,0
wait_event,,,4.27,4.27,29715.12,29715.12,0,0
destroy_event,,,2.61,2.61,0,0,0,0
aten::to,"64;
;
;
;
",,3.75,3.75,0,0,0,0
aten::to,"1,544;
;
;
;
",,4.15,55.09,0,1.4,0,0
aten::_to_copy,"1,544;
;
;
;
;
;
",,7.8,50.94,0,1.4,0,0
aten::empty_strided,";
;
;
;
;
",,9.66,14.23,0,0,0,0
empty_tensor,,,4.57,4.57,0,0,0,0
aten::copy_,"1,544;
1,544;
",,25.09,28.91,0,1.4,0,0
aclnnInplaceCopy,,,3.82,3.82,1.4,1.4,0,0
aten::einsum,";
;
",,28.19,102.64,0,12.62,0,0
aten::unsqueeze,"64;
",,14.19,18.62,0,0,0,0
aten::as_strided,"64;
;
;
",,4.43,4.43,0,0,0,0
aten::unsqueeze,"64,1;
",,4.6,7.65,0,0,0,0
aten::as_strided,"64,1;
;
;
",,3.05,3.05,0,0,0,0
aten::permute,"64,1,1;
",,6.49,9.05,0,0,0,0
aten::as_strided,"64,1,1;
;
;
",,2.56,2.56,0,0,0,0
aten::unsqueeze,"1,544;
",,1.99,4.38,0,0,0,0
aten::as_strided,"1,544;
;
;
",,2.39,2.39,0,0,0,0
aten::permute,"1,544,1;
",,1.83,3.7,0,0,0,0
aten::as_strided,"1,544,1;
;
;
",,1.87,1.87,0,0,0,0
aten::mul,"1,1,64;
1,544,1",,22.89,31.05,0,12.62,0,0
empty_tensor,,,5.31,5.31,0,0,0,0
aclnnMul,,,2.85,2.85,12.62,12.62,0,0
aten::cat,";
",,21.92,29.14,0,3.98,0,0
empty_tensor,,,4.24,4.24,0,0,0,0
aclnnCat,,,2.98,2.98,3.98,3.98,0,0
aten::cos,"1,544,128",,17.94,25.03,0,10.94,0,0
empty_tensor,,,4.04,4.04,0,0,0,0
aclnnCos,,,3.05,3.05,10.94,10.94,0,0
aten::sin,"1,544,128",,13.34,19.97,0,10.04,0,0
empty_tensor,,,3.94,3.94,0,0,0,0
aclnnSin,,,2.69,2.69,10.04,10.04,0,0
aten::to,"1,544,128;
;
;
;
",,4.02,38.58,0,7.26,0,0
aten::_to_copy,"1,544,128;
;
;
;
;
;
",,5.34,34.56,0,7.26,0,0
aten::empty_strided,";
;
;
;
;
",,7.03,9.87,0,0,0,0
empty_tensor,,,2.84,2.84,0,0,0,0
aten::copy_,"1,544,128;
1,544,128;
",,16.01,19.35,0,7.26,0,0
aclnnInplaceCopy,,,3.34,3.34,7.26,7.26,0,0
aten::to,"1,544,128;
;
;
;
",,2.8,31.55,0,2.82,0,0
aten::_to_copy,"1,544,128;
;
;
;
;
;
",,4.72,28.75,0,2.82,0,0
aten::empty_strided,";
;
;
;
;
",,5.44,8.21,0,0,0,0
empty_tensor,,,2.77,2.77,0,0,0,0
aten::copy_,"1,544,128;
1,544,128;
",,12.54,15.82,0,2.82,0,0
aclnnInplaceCopy,,,3.28,3.28,2.82,2.82,0,0
aten::to,"1,544,5120;
;
;
;
",,3.25,35.22,0,9.9,0,0
aten::_to_copy,"1,544,5120;
;
;
;
;
;
",,4.46,31.97,0,9.9,0,0
aten::empty_strided,";
;
;
;
;
",,6.56,9.31,0,0,0,0
empty_tensor,,,2.75,2.75,0,0,0,0
aten::copy_,"1,544,5120;
1,544,5120;
",,12.78,18.2,0,9.9,0,0
aclnnInplaceCopy,,,5.42,5.42,9.9,9.9,0,0
aten::square,"1,544,5120",,7.13,49.37,0,17.92,0,0
aten::pow,"1,544,5120;
",,5.0,42.24,0,17.92,0,0
aten::pow,"1,544,5120;
",,24.24,37.24,0,17.92,0,0
aten::result_type,"1,544,5120;
",,3.24,3.24,0,0,0,0
empty_tensor,,,4.8,4.8,0,0,0,0
aclnnPowTensorScalar,,,4.96,4.96,17.92,17.92,0,0
aten::mean,"1,544,5120;
;
;
",,23.92,32.65,0,20.96,0,0
empty_tensor,,,3.24,3.24,0,0,0,0
aclnnMean,,,5.49,5.49,20.96,20.96,0,0
aten::add,"1,544,1;
;
",,28.95,46.99,0,1.48,0,0
empty_tensor,,,4.71,4.71,0,0,0,0
aten::item,,,1.87,4.4,0,0,0,0
aten::_local_scalar_dense,,,2.53,2.53,0,0,0,0
aclnnAdds,,,8.93,8.93,1.48,1.48,0,0
aten::rsqrt,"1,544,1",,2.15,26.46,0,1.44,0,0
aten::rsqrt,"1,544,1",,15.79,24.31,0,1.44,0,0
empty_tensor,,,4.4,4.4,0,0,0,0
aclnnRsqrt,,,4.12,4.12,1.44,1.44,0,0
aten::mul,"1,544,5120;
1,544,1",,18.94,30.09,0,20.28,0,0
empty_tensor,,,4.5,4.5,0,0,0,0
aclnnMul,,,6.65,6.65,20.28,20.28,0,0
aten::to,"1,544,5120;
;
;
;
",,3.54,48.7,0,8.94,0,0
aten::_to_copy,"1,544,5120;
;
;
;
;
;
",,5.98,45.16,0,8.94,0,0
aten::empty_strided,";
;
;
;
;
",,7.84,10.21,0,0,0,0
empty_tensor,,,2.37,2.37,0,0,0,0
aten::copy_,"1,544,5120;
1,544,5120;
",,17.25,28.97,0,8.94,0,0
aclnnInplaceCopy,,,11.72,11.72,8.94,8.94,0,0
aten::mul,"5120;
1,544,5120",,16.23,32.09,0,29.88,0,0
empty_tensor,,,4.77,4.77,0,0,0,0
aclnnMul,,,11.09,11.09,29.88,29.88,0,0
aten::linear,"1,544,5120;
4096,5120;
",,5.18,69.51,0,103.72,0,103.72
aten::linear,"1,544,5120;
4096,5120;
",,9.7,64.33,0,103.72,0,103.72
aten::t,"4096,5120",,8.46,18.74,0,0,0,0
aten::transpose,"4096,5120;
;
",,5.14,10.28,0,0,0,0
aten::as_strided,"4096,5120;
;
;
",,5.14,5.14,0,0,0,0
aten::matmul,"1,544,5120;
5120,4096",,22.45,35.89,0,103.72,0,103.72
empty_tensor,,,4.97,4.97,0,0,0,0
aclnnMatmul,,,8.47,8.47,103.72,103.72,103.72,103.72
aten::view,"1,544,4096;
",,5.66,5.66,0,0,0,0
aten::linear,"1,544,5120;
512,5120;
",,2.62,42.99,0,23.56,0,23.56
aten::linear,"1,544,5120;
512,5120;
",,3.77,40.37,0,23.56,0,23.56
aten::t,"512,5120",,3.14,10.49,0,0,0,0
aten::transpose,"512,5120;
;
",,3.13,7.35,0,0,0,0
aten::as_strided,"512,5120;
;
;
",,4.22,4.22,0,0,0,0
aten::matmul,"1,544,5120;
5120,512",,13.14,26.11,0,23.56,0,23.56
empty_tensor,,,4.5,4.5,0,0,0,0
aclnnMatmul,,,8.47,8.47,23.56,23.56,23.56,23.56
aten::view,"1,544,512;
",,3.52,3.52,0,0,0,0
aten::linear,"1,544,5120;
512,5120;
",,2.71,39.73,0,21.1,0,21.1
aten::linear,"1,544,5120;
512,5120;
",,2.55,37.02,0,21.1,0,21.1
aten::t,"512,5120",,2.61,9.25,0,0,0,0
aten::transpose,"512,5120;
;
",,2.41,6.64,0,0,0,0
aten::as_strided,"512,5120;
;
;
",,4.23,4.23,0,0,0,0
aten::matmul,"1,544,5120;
5120,512",,12.28,25.22,0,21.1,0,21.1
empty_tensor,,,4.65,4.65,0,0,0,0
aclnnMatmul,,,8.29,8.29,21.1,21.1,21.1,21.1
aten::view,"1,544,512;
",,4.95,4.95,0,0,0,0
aten::to,"1,544,32,128;
;
;
;
",,4.39,45.21,0,8.44,0,0
aten::_to_copy,"1,544,32,128;
;
;
;
;
;
",,5.28,40.82,0,8.44,0,0
aten::empty_strided,";
;
;
;
;
",,7.43,9.93,0,0,0,0
empty_tensor,,,2.5,2.5,0,0,0,0
aten::copy_,"1,544,32,128;
1,544,32,128;
",,16.46,25.61,0,8.44,0,0
aclnnInplaceCopy,,,9.15,9.15,8.44,8.44,0,0
aten::square,"1,544,32,128",,3.02,40.73,0,17.34,0,0
aten::pow,"1,544,32,128;
",,2.35,37.71,0,17.34,0,0
aten::pow,"1,544,32,128;
",,18.57,35.36,0,17.34,0,0
aten::result_type,"1,544,32,128;
",,1.32,1.32,0,0,0,0
empty_tensor,,,6.53,6.53,0,0,0,0
aclnnPowTensorScalar,,,8.94,8.94,17.34,17.34,0,0
aten::mean,"1,544,32,128;
;
;
",,20.7,32.86,0,18.38,0,0
empty_tensor,,,3.21,3.21,0,0,0,0
aclnnMean,,,8.95,8.95,18.38,18.38,0,0
aten::add,"1,544,32,1;
;
",,15.35,33.0,0,3.32,0,0
empty_tensor,,,3.42,3.42,0,0,0,0
aten::item,,,2.46,5.83,0,0,0,0
aten::_local_scalar_dense,,,3.37,3.37,0,0,0,0
aclnnAdds,,,8.4,8.4,3.32,3.32,0,0
aten::rsqrt,"1,544,32,1",,1.99,26.12,0,3.32,0,0
aten::rsqrt,"1,544,32,1",,10.82,24.13,0,3.32,0,0
empty_tensor,,,3.66,3.66,0,0,0,0
aclnnRsqrt,,,9.65,9.65,3.32,3.32,0,0
aten::mul,"1,544,32,128;
1,544,32,1",,14.07,26.35,0,18.68,0,0
empty_tensor,,,4.4,4.4,0,0,0,0
aclnnMul,,,7.88,7.88,18.68,18.68,0,0
aten::to,"1,544,32,128;
;
;
;
",,3.3,40.96,0,8.38,0,0
aten::_to_copy,"1,544,32,128;
;
;
;
;
;
",,5.43,37.66,0,8.38,0,0
aten::empty_strided,";
;
;
;
;
",,6.2,8.64,0,0,0,0
empty_tensor,,,2.44,2.44,0,0,0,0
aten::copy_,"1,544,32,128;
1,544,32,128;
",,14.46,23.59,0,8.38,0,0
aclnnInplaceCopy,,,9.13,9.13,8.38,8.38,0,0
aten::mul,"128;
1,544,32,128",,14.23,28.29,0,18.08,0,0
empty_tensor,,,4.69,4.69,0,0,0,0
aclnnMul,,,9.37,9.37,18.08,18.08,0,0
aten::transpose,"1,544,32,128;
;
",,4.63,8.92,0,0,0,0
aten::as_strided,"1,544,32,128;
;
;
",,4.29,4.29,0,0,0,0
aten::to,"1,544,4,128;
;
;
;
",,3.64,51.46,0,7.5,0,0
aten::_to_copy,"1,544,4,128;
;
;
;
;
;
",,4.37,47.82,0,7.5,0,0
aten::empty_strided,";
;
;
;
;
",,6.73,8.74,0,0,0,0
empty_tensor,,,2.01,2.01,0,0,0,0
aten::copy_,"1,544,4,128;
1,544,4,128;
",,17.47,34.71,0,7.5,0,0
aclnnInplaceCopy,,,17.24,17.24,7.5,7.5,0,0
aten::square,"1,544,4,128",,2.31,49.19,0,12.36,0,0
aten::pow,"1,544,4,128;
",,2.6,46.88,0,12.36,0,0
aten::pow,"1,544,4,128;
",,19.71,44.28,0,12.36,0,0
aten::result_type,"1,544,4,128;
",,9.51,9.51,0,0,0,0
empty_tensor,,,4.62,4.62,0,0,0,0
aclnnPowTensorScalar,,,10.44,10.44,12.36,12.36,0,0
aten::mean,"1,544,4,128;
;
;
",,26.25,42.45,0,12.28,0,0
empty_tensor,,,5.98,5.98,0,0,0,0
aclnnMean,,,10.22,10.22,12.28,12.28,0,0
aten::add,"1,544,4,1;
;
",,23.42,47.66,0,2.0,0,0
empty_tensor,,,3.69,3.69,0,0,0,0
aten::item,,,1.48,11.56,0,0,0,0
aten::_local_scalar_dense,,,10.08,10.08,0,0,0,0
aclnnAdds,,,8.99,8.99,2.0,2.0,0,0
aten::rsqrt,"1,544,4,1",,1.33,50.22,0,1.5,0,0
aten::rsqrt,"1,544,4,1",,29.21,48.89,0,1.5,0,0
empty_tensor,,,3.08,3.08,0,0,0,0
aclnnRsqrt,,,16.6,16.6,1.5,1.5,0,0
aten::mul,"1,544,4,128;
1,544,4,1",,17.98,29.15,0,14.68,0,0
empty_tensor,,,3.05,3.05,0,0,0,0
aclnnMul,,,8.12,8.12,14.68,14.68,0,0
aten::to,"1,544,4,128;
;
;
;
",,16.15,65.02,0,7.08,0,0
aten::_to_copy,"1,544,4,128;
;
;
;
;
;
",,10.16,48.87,0,7.08,0,0
aten::empty_strided,";
;
;
;
;
",,6.88,8.98,0,0,0,0
empty_tensor,,,2.1,2.1,0,0,0,0
aten::copy_,"1,544,4,128;
1,544,4,128;
",,13.44,29.73,0,7.08,0,0
aclnnInplaceCopy,,,16.29,16.29,7.08,7.08,0,0
aten::mul,"128;
1,544,4,128",,20.74,37.45,0,11.8,0,0
empty_tensor,,,6.5,6.5,0,0,0,0
aclnnMul,,,10.21,10.21,11.8,11.8,0,0
aten::transpose,"1,544,4,128;
;
",,9.66,15.4,0,0,0,0
aten::as_strided,"1,544,4,128;
;
;
",,5.74,5.74,0,0,0,0
aten::transpose,"1,544,4,128;
;
",,2.3,7.1,0,0,0,0
