Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::einsum,";
;
",,16.19,66.69,0,6.32,0,0
aten::unsqueeze,"64;
",,7.75,11.07,0,0,0,0
aten::as_strided,"64;
;
;
",,3.32,3.32,0,0,0,0
aten::unsqueeze,"64,1;
",,3.26,5.48,0,0,0,0
aten::as_strided,"64,1;
;
;
",,2.22,2.22,0,0,0,0
aten::permute,"64,1,1;
",,4.06,6.48,0,0,0,0
aten::as_strided,"64,1,1;
;
;
",,2.42,2.42,0,0,0,0
aten::unsqueeze,"1,6;
",,1.45,3.31,0,0,0,0
aten::as_strided,"1,6;
;
;
",,1.86,1.86,0,0,0,0
aten::permute,"1,6,1;
",,1.22,2.84,0,0,0,0
aten::as_strided,"1,6,1;
;
;
",,1.62,1.62,0,0,0,0
aten::mul,"1,1,64;
1,6,1",,14.57,21.32,0,6.32,0,0
empty_tensor,,,4.96,4.96,0,0,0,0
aclnnMul,,,1.79,1.79,6.32,6.32,0,0
aten::cat,";
",,13.09,18.68,0,4.42025,0,0
empty_tensor,,,3.69,3.69,0,0,0,0
aclnnCat,,,1.9,1.9,4.42025,4.42025,0,0
aten::cos,"1,6,128",,11.51,16.55,0,2.42,0,0
empty_tensor,,,3.54,3.54,0,0,0,0
aclnnCos,,,1.5,1.5,2.42,2.42,0,0
aten::sin,"1,6,128",,11.71,16.8,0,2.36025,0,0
empty_tensor,,,3.25,3.25,0,0,0,0
aclnnSin,,,1.84,1.84,2.36025,2.36025,0,0
aten::to,"1,6,128;
;
;
;
",,2.87,28.32,0,1.42,0,0
aten::_to_copy,"1,6,128;
;
;
;
;
;
",,4.58,25.45,0,1.42,0,0
aten::empty_strided,";
;
;
;
;
",,5.16,7.16,0,0,0,0
empty_tensor,,,2.0,2.0,0,0,0,0
aten::copy_,"1,6,128;
1,6,128;
",,11.65,13.71,0,1.42,0,0
aclnnInplaceCopy,,,2.06,2.06,1.42,1.42,0,0
aten::to,"1,6,128;
;
;
;
",,3.29,23.33,0,1.3,0,0
aten::_to_copy,"1,6,128;
;
;
;
;
;
",,3.42,20.04,0,1.3,0,0
aten::empty_strided,";
;
;
;
;
",,4.22,6.12,0,0,0,0
empty_tensor,,,1.9,1.9,0,0,0,0
aten::copy_,"1,6,128;
1,6,128;
",,8.52,10.5,0,1.3,0,0
aclnnInplaceCopy,,,1.98,1.98,1.3,1.3,0,0
